#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 600  14
# Band-Index    1
   0.60321    -11.005216  0.418  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.440
   0.61326    -10.969590  0.418  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.442
   0.62332    -10.933699  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.442
   0.63337    -10.897488  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.442
   0.64342    -10.860980  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.444
   0.65348    -10.824203  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.444
   0.66353    -10.787185  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.444
   0.67358    -10.749956  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.446
   0.68364    -10.712550  0.420  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.446
   0.69369    -10.675003  0.422  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   0.70374    -10.637354  0.422  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   0.71380    -10.599647  0.422  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.448
   0.72385    -10.561926  0.422  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.450
   0.73390    -10.524253  0.424  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.450
   0.74396    -10.486663  0.424  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.452
   0.75401    -10.449226  0.424  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.452
   0.76406    -10.412005  0.426  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.454
   0.77412    -10.375070  0.426  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.454
   0.78417    -10.338499  0.426  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.456
   0.79422    -10.302391  0.428  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.456
   0.80428    -10.266807  0.428  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.458
   0.81433    -10.231851  0.430  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.458
   0.82439    -10.197638  0.432  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.460
   0.83444    -10.164266  0.432  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.462
   0.84449    -10.131859  0.434  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.462
   0.85455    -10.100543  0.434  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.464
   0.86460    -10.070452  0.436  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.464
   0.87465    -10.041687  0.438  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.466
   0.88471    -10.014477  0.438  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.468
   0.89476     -9.988930  0.440  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.468
   0.90481     -9.965200  0.442  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.470
   0.91487     -9.943442  0.442  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.470
   0.92492     -9.923806  0.444  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.472
   0.93497     -9.906465  0.444  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.472
   0.94503     -9.891506  0.446  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.472
   0.95508     -9.879079  0.446  0.010  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.474
   0.96513     -9.869291  0.446  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   0.97519     -9.862233  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   0.98524     -9.857969  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   0.99529     -9.856543  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   0.99529     -9.856543  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.00350     -9.856322  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.01171     -9.855662  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.01992     -9.854562  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.02813     -9.853021  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.03634     -9.851041  0.448  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.04455     -9.848621  0.448  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.05275     -9.845761  0.448  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.06096     -9.842461  0.448  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.06917     -9.838721  0.448  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.07738     -9.834544  0.448  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.08559     -9.829927  0.448  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.09380     -9.824873  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.10201     -9.819381  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.11022     -9.813452  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.11842     -9.807093  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.12663     -9.800290  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.13484     -9.793051  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.14305     -9.785376  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.15126     -9.777267  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.474
   1.15947     -9.768708  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.16768     -9.759731  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.17588     -9.750321  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.18409     -9.740478  0.446  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.19230     -9.730204  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.20051     -9.719500  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.20872     -9.708366  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.21693     -9.696803  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.22514     -9.684810  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.23334     -9.672393  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.24155     -9.659550  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
